Gene	# Structural Variant	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
TFRC	1	1	479	0.2%	Yes
TESK1	1	1	479	0.2%	No
SCX	1	1	479	0.2%	No
SPINT2	1	1	479	0.2%	No
COMTD1	1	1	479	0.2%	No
CAPNS1	1	1	479	0.2%	No
SCP2	2	2	479	0.4%	No
NDST4	1	1	479	0.2%	No
AKT3	3	3	479	0.6%	Yes
GPBP1	1	1	479	0.2%	No
FAM110B	4	3	479	0.6%	No
MLYCD	1	1	479	0.2%	No
PKNOX1	1	1	479	0.2%	No
VSTM4	1	1	479	0.2%	No
GTSE1	1	1	479	0.2%	Yes
WLS	1	1	479	0.2%	No
FNBP4	1	1	479	0.2%	No
GSTK1	1	1	479	0.2%	No
CXADR	2	2	479	0.4%	No
CACNA2D3	1	1	479	0.2%	No
ZNF10	1	1	479	0.2%	No
PHKA1	1	1	479	0.2%	No
FRS2	1	1	479	0.2%	Yes
PHKA2	1	1	479	0.2%	No
BCR	1	1	479	0.2%	Yes
ATF6	3	1	479	0.2%	No
ATF3	1	1	479	0.2%	No
SKAP1	1	1	479	0.2%	No
URI1	2	2	479	0.4%	No
DEDD2	1	1	479	0.2%	No
PRPSAP2	1	1	479	0.2%	No
EPB41L1	1	1	479	0.2%	No
HLCS	1	1	479	0.2%	No
RDH11	3	2	479	0.4%	No
AGMO	1	1	479	0.2%	No
ADAMTS17	1	1	479	0.2%	No
PIP5K1A	1	1	479	0.2%	No
ATG7	1	1	479	0.2%	No
EIF2AK1	1	1	479	0.2%	No
MTERF4	1	1	479	0.2%	No
PBX3	2	1	479	0.2%	No
EIF2AK3	1	1	479	0.2%	No
NBPF22P	1	1	479	0.2%	No
EIF2AK4	1	1	479	0.2%	No
LARP4	1	1	479	0.2%	No
MOV10	1	1	479	0.2%	No
STRC	1	1	479	0.2%	No
FASN	1	1	479	0.2%	No
AGO2	1	1	479	0.2%	Yes
NMT1	1	1	479	0.2%	No
SFXN1	1	1	479	0.2%	No
C19ORF44	1	1	479	0.2%	No
DPYS	1	1	479	0.2%	No
NCAPG2	1	1	479	0.2%	No
ZNF43	1	1	479	0.2%	No
PRKAG2	1	1	479	0.2%	No
ARHGAP6	3	2	479	0.4%	No
MED15	1	1	479	0.2%	No
MED12	1	1	479	0.2%	Yes
PCMTD2	1	1	479	0.2%	No
CASP14	1	1	479	0.2%	No
CHAF1B	1	1	479	0.2%	No
MMP28	1	1	479	0.2%	No
TCP11L1	1	1	479	0.2%	No
NEFL	1	1	479	0.2%	No
DLGAP1	1	1	479	0.2%	No
NINL	1	1	479	0.2%	No
ENOPH1	1	1	479	0.2%	No
DLGAP5	1	1	479	0.2%	No
JAK1	1	1	479	0.2%	Yes
LIN52	1	1	479	0.2%	No
PCMTD1	2	2	479	0.4%	No
MYBPC3	1	1	479	0.2%	No
CHST8	1	1	479	0.2%	No
DUSP3	1	1	479	0.2%	No
GSTO1	1	1	479	0.2%	No
EPS15L1	1	1	479	0.2%	No
BAZ1B	3	2	479	0.4%	No
C19ORF48P	3	3	479	0.6%	No
MED26	1	1	479	0.2%	No
PHF20L1	1	1	479	0.2%	No
CDC20B	1	1	479	0.2%	No
MMP11	1	1	479	0.2%	No
TMEFF2	8	7	479	1.5%	No
NSFP1	2	2	479	0.4%	No
MMP16	2	1	479	0.2%	No
INCENP	1	1	479	0.2%	No
MMP15	1	1	479	0.2%	No
DPYD	1	1	479	0.2%	Yes
RAPGEF2	2	2	479	0.4%	No
ERGIC1	1	1	479	0.2%	No
PPARD	1	1	479	0.2%	No
RAPGEF4	2	2	479	0.4%	No
SAMD5	1	1	479	0.2%	No
OAT	1	1	479	0.2%	No
FAXC	1	1	479	0.2%	No
ADAM22	1	1	479	0.2%	No
ABRACL	1	1	479	0.2%	No
SNX30	1	1	479	0.2%	No
SLC7A1	1	1	479	0.2%	No
ZNF69	1	1	479	0.2%	No
WRN	1	1	479	0.2%	Yes
RIDA	1	1	479	0.2%	No
NRAP	1	1	479	0.2%	No
STX6	1	1	479	0.2%	No
STX3	1	1	479	0.2%	No
SAMD3	1	1	479	0.2%	No
MBD3	1	1	479	0.2%	No
ATAD1	3	3	479	0.6%	No
ZNF462	2	2	479	0.4%	No
MBD5	2	2	479	0.4%	No
ATAD5	1	1	479	0.2%	No
GOLM2	1	1	479	0.2%	No
GOLM1	1	1	479	0.2%	No
TRAPPC10	1	1	479	0.2%	No
WNT7B	1	1	479	0.2%	No
MBD2	1	1	479	0.2%	No
ADAM33	1	1	479	0.2%	No
DAB2IP	1	1	479	0.2%	No
SNX21	1	1	479	0.2%	No
TARBP1	1	1	479	0.2%	No
GID4	1	1	479	0.2%	Yes
SNX19	1	1	479	0.2%	No
TAOK3	1	1	479	0.2%	No
CCDC9	1	1	479	0.2%	No
TAOK1	1	1	479	0.2%	No
CENPN	1	1	479	0.2%	No
CRAT	1	1	479	0.2%	No
ADGRL2	1	1	479	0.2%	No
FRYL	4	4	479	0.8%	No
CDKN3	1	1	479	0.2%	No
EXOC3L2	1	1	479	0.2%	No
CASC9	1	1	479	0.2%	No
PDCD5	1	1	479	0.2%	No
RASL11A	1	1	479	0.2%	No
GOLIM4	1	1	479	0.2%	No
SLA	1	1	479	0.2%	No
MSI2	2	2	479	0.4%	Yes
HHAT	2	2	479	0.4%	No
PTAR1	1	1	479	0.2%	No
SLK	1	1	479	0.2%	No
SLN	1	1	479	0.2%	No
NEK1	1	1	479	0.2%	No
CIR1	1	1	479	0.2%	No
SYBU	1	1	479	0.2%	No
MAP3K5	2	2	479	0.4%	No
KCNH4	1	1	479	0.2%	No
IST1	1	1	479	0.2%	No
FBXW7	1	1	479	0.2%	Yes
FBXO16	1	1	479	0.2%	No
ATP11B	4	4	479	0.8%	No
ATP11A	1	1	479	0.2%	No
CDC25C	1	1	479	0.2%	No
FBXO11	1	1	479	0.2%	Yes
PIAS1	3	3	479	0.6%	No
TPST2	1	1	479	0.2%	No
MINPP1	1	1	479	0.2%	No
MSH4	1	1	479	0.2%	No
PKP2	2	1	479	0.2%	No
SMS	1	1	479	0.2%	No
IL6ST	2	2	479	0.4%	Yes
SRSF7	1	1	479	0.2%	No
SLC27A2	1	1	479	0.2%	No
KMT2C	4	4	479	0.8%	Yes
IREB2	1	1	479	0.2%	No
CREBL2	2	1	479	0.2%	No
UAP1	1	1	479	0.2%	No
LIN7A	1	1	479	0.2%	No
NRF1	3	3	479	0.6%	No
FTX	1	1	479	0.2%	No
PKMYT1	1	1	479	0.2%	No
CYP2C18	1	1	479	0.2%	No
NPAS2	1	1	479	0.2%	No
CCDC144A	1	1	479	0.2%	No
C1ORF226	1	1	479	0.2%	No
EIF4EBP1	1	1	479	0.2%	No
SMYD2	1	1	479	0.2%	No
KHDC4	1	1	479	0.2%	No
SMYD3	4	3	479	0.6%	Yes
IP6K1	1	1	479	0.2%	No
ZNF423	1	1	479	0.2%	No
TXNDC5	1	1	479	0.2%	No
PCA3	1	1	479	0.2%	No
TMEM120B	1	1	479	0.2%	No
NOP14	1	1	479	0.2%	No
NEK4	1	1	479	0.2%	No
ODF2	1	1	479	0.2%	No
NRDC	1	1	479	0.2%	No
NEK7	1	1	479	0.2%	No
FBXO34	1	1	479	0.2%	No
CORO2A	1	1	479	0.2%	No
TMPRSS15	1	1	479	0.2%	No
FBXO31	1	1	479	0.2%	Yes
SON	1	1	479	0.2%	No
SH3BP5L	1	1	479	0.2%	No
SP3	1	1	479	0.2%	No
ZNF417	1	1	479	0.2%	No
ADSS2	1	1	479	0.2%	No
MNAT1	1	1	479	0.2%	No
SLC49A4	1	1	479	0.2%	No
SP140L	1	1	479	0.2%	No
OGT	1	1	479	0.2%	No
ITGB1	1	1	479	0.2%	No
MIPEP	3	3	479	0.6%	No
BCAR4	1	1	479	0.2%	No
AKAP8L	1	1	479	0.2%	No
PTEN	9	9	479	1.9%	Yes
NENF	1	1	479	0.2%	No
BICD1	1	1	479	0.2%	No
GPR89B	2	2	479	0.4%	No
RLBP1	1	1	479	0.2%	No
CDC73	1	1	479	0.2%	Yes
ACP6	1	1	479	0.2%	No
PGM3	1	1	479	0.2%	No
ACP3	14	14	479	2.9%	No
PIERCE2	1	1	479	0.2%	No
NEO1	1	1	479	0.2%	No
PGM1	2	2	479	0.4%	No
BOK	1	1	479	0.2%	No
MSMB	1	1	479	0.2%	No
EIF5A	1	1	479	0.2%	No
ACTR3	1	1	479	0.2%	No
BCAS4	1	1	479	0.2%	No
ACTR2	3	2	479	0.4%	No
BCAS3	1	1	479	0.2%	No
SMIM13	1	1	479	0.2%	No
ADGRV1	1	1	479	0.2%	No
GRID1	1	1	479	0.2%	No
TNFRSF19	1	1	479	0.2%	No
AHSA1	1	1	479	0.2%	No
VPS13B	2	2	479	0.4%	No
NRG1	1	1	479	0.2%	Yes
TNFRSF1B	1	1	479	0.2%	No
ARFGAP2	1	1	479	0.2%	No
PCCA	1	1	479	0.2%	No
RRM2B	1	1	479	0.2%	No
PCCB	1	1	479	0.2%	No
TRIM58	1	1	479	0.2%	No
LCOR	1	1	479	0.2%	No
ZNF875	2	2	479	0.4%	No
SPACA9	1	1	479	0.2%	No
SMIM22	1	1	479	0.2%	No
PRPS1	1	1	479	0.2%	No
SNAP47	1	1	479	0.2%	No
BLTP3A	1	1	479	0.2%	No
BLTP3B	1	1	479	0.2%	No
ROCK1	1	1	479	0.2%	No
ROCK2	1	1	479	0.2%	No
MGRN1	1	1	479	0.2%	No
MLLT1	1	1	479	0.2%	Yes
MALT1	1	1	479	0.2%	Yes
CDC42	1	1	479	0.2%	Yes
ZNRF3	2	2	479	0.4%	Yes
KCTD20	1	1	479	0.2%	No
WHAMM	1	1	479	0.2%	No
HNRNPA1	1	1	479	0.2%	No
SLC36A4	1	1	479	0.2%	No
H2AZ1	1	1	479	0.2%	No
GADD45GIP1	1	1	479	0.2%	No
POLR2J3	1	1	479	0.2%	No
H2AZ2	1	1	479	0.2%	No
KCNJ6	2	2	479	0.4%	No
POLR2J2	1	1	479	0.2%	No
SYT14	1	1	479	0.2%	No
TM6SF1	1	1	479	0.2%	No
SORL1	2	2	479	0.4%	No
TBX3	2	2	479	0.4%	Yes
TTC39A	5	4	479	0.8%	No
MYO16	1	1	479	0.2%	No
SUGCT	2	2	479	0.4%	No
MYO1D	1	1	479	0.2%	No
MYO1E	2	1	479	0.2%	No
MYO1B	1	1	479	0.2%	No
ST7	1	1	479	0.2%	No
EIF3E	3	2	479	0.4%	Yes
TRIM37	1	1	479	0.2%	No
PDCD2	1	1	479	0.2%	No
OCIAD2	3	3	479	0.6%	No
NAGS	1	1	479	0.2%	No
BCAR1	1	1	479	0.2%	No
ODAD2	1	1	479	0.2%	No
CERK	1	1	479	0.2%	No
THSD7B	2	2	479	0.4%	No
ODAD4	1	1	479	0.2%	No
CPNE4	7	7	479	1.5%	No
ECI1	1	1	479	0.2%	No
ECI2	1	1	479	0.2%	No
LDLRAD4	2	2	479	0.4%	No
MTFR1L	1	1	479	0.2%	No
IKZF2	1	1	479	0.2%	Yes
NUDT3	1	1	479	0.2%	No
NUDT4	1	1	479	0.2%	No
LGALS4	1	1	479	0.2%	No
SPZ1	1	1	479	0.2%	No
HERC2	1	1	479	0.2%	No
CCDC91	1	1	479	0.2%	No
HMGN2P46	7	6	479	1.3%	No
HERC1	2	2	479	0.4%	No
CDC27	2	2	479	0.4%	No
TNFSF10	1	1	479	0.2%	No
PIEZO1	2	2	479	0.4%	No
SNRPD3	1	1	479	0.2%	No
ATXN7L1	1	1	479	0.2%	No
TBC1D22A	1	1	479	0.2%	No
FBXO7	1	1	479	0.2%	No
SMARCC1	1	1	479	0.2%	No
KCTD19	1	1	479	0.2%	No
SMARCC2	2	2	479	0.4%	No
LIMCH1	3	3	479	0.6%	No
ARL15	1	1	479	0.2%	No
GOLPH3L	1	1	479	0.2%	No
ACTN4	1	1	479	0.2%	No
TMEM170A	1	1	479	0.2%	No
CYP39A1	1	1	479	0.2%	No
SNHG14	2	2	479	0.4%	No
GAREM1	1	1	479	0.2%	No
PPA2	1	1	479	0.2%	No
ADGRB3	1	1	479	0.2%	No
KCNQ1	1	1	479	0.2%	No
SUB1	1	1	479	0.2%	No
CD226	1	1	479	0.2%	No
RIN3	1	1	479	0.2%	No
TP53	6	6	479	1.3%	Yes
TRIM11	1	1	479	0.2%	No
SLC45A2	2	1	479	0.2%	No
SLC45A3	27	26	479	5.4%	Yes
DHX8	2	2	479	0.4%	No
DHX9	3	3	479	0.6%	No
MYCBP2	3	3	479	0.6%	No
ZBTB1	1	1	479	0.2%	No
CWF19L2	2	2	479	0.4%	No
OMA1	1	1	479	0.2%	No
KALRN	2	2	479	0.4%	No
ZBTB4	1	1	479	0.2%	No
SPMIP7	2	2	479	0.4%	No
PKHD1	2	1	479	0.2%	No
SEC14L2	1	1	479	0.2%	No
MBTD1	1	1	479	0.2%	No
MRNIP	1	1	479	0.2%	No
SARAF	2	2	479	0.4%	No
KCNN3	2	2	479	0.4%	No
B4GALNT3	1	1	479	0.2%	No
STAT5B	1	1	479	0.2%	Yes
XBP1	1	1	479	0.2%	Yes
SLC10A7	2	2	479	0.4%	No
FAM78B	1	1	479	0.2%	No
GREB1	1	1	479	0.2%	No
DELE1	1	1	479	0.2%	No
SUCO	1	1	479	0.2%	No
IFFO2	1	1	479	0.2%	No
SMARCA1	2	2	479	0.4%	Yes
BRI3BP	1	1	479	0.2%	No
SIGLEC17P	1	1	479	0.2%	No
FER1L6	1	1	479	0.2%	No
AIMP1	1	1	479	0.2%	No
NET1	1	1	479	0.2%	No
MSRA	2	2	479	0.4%	No
POLA1	1	1	479	0.2%	No
SPMIP3	1	1	479	0.2%	No
PTK7	2	2	479	0.4%	Yes
NDUFAF4	1	1	479	0.2%	No
SPMIP2	1	1	479	0.2%	No
NDUFAF2	2	2	479	0.4%	No
GRB2	1	1	479	0.2%	No
FBXL3	1	1	479	0.2%	No
NOL10	1	1	479	0.2%	No
FBXL5	1	1	479	0.2%	No
SUGP2	1	1	479	0.2%	No
SPAG16	2	2	479	0.4%	No
DHRS12	2	2	479	0.4%	No
NRP1	1	1	479	0.2%	No
NRP2	1	1	479	0.2%	No
FBH1	2	2	479	0.4%	No
MRPS11	1	1	479	0.2%	No
GRIK4	1	1	479	0.2%	No
SH3RF1	1	1	479	0.2%	No
NBPF26	1	1	479	0.2%	No
PPP3CA	5	3	479	0.6%	No
ACTR1A	2	2	479	0.4%	No
AKAP10	1	1	479	0.2%	No
NUDCD3	1	1	479	0.2%	No
PPP3CC	1	1	479	0.2%	No
MAP1LC3A	1	1	479	0.2%	No
BBS9	1	1	479	0.2%	No
EPG5	1	1	479	0.2%	No
PHGDH	1	1	479	0.2%	No
BBS7	1	1	479	0.2%	No
NANS	1	1	479	0.2%	No
BBS4	1	1	479	0.2%	No
SREBF1	1	1	479	0.2%	No
COX8C	1	1	479	0.2%	No
PCYT1A	1	1	479	0.2%	No
MRPS27	1	1	479	0.2%	No
ATMIN	1	1	479	0.2%	No
GAB1	1	1	479	0.2%	Yes
MRPS21	2	2	479	0.4%	No
GAB4	1	1	479	0.2%	No
KIF6	2	2	479	0.4%	No
APRT	1	1	479	0.2%	No
GAK	2	1	479	0.2%	No
TOX3	1	1	479	0.2%	No
RNF144B	1	1	479	0.2%	No
TOX2	1	1	479	0.2%	No
NCBP2L	1	1	479	0.2%	No
IL1B	1	1	479	0.2%	No
DMC1	1	1	479	0.2%	No
PITPNM2	1	1	479	0.2%	No
ARHGEF3	1	1	479	0.2%	No
TLCD4	1	1	479	0.2%	No
SDE2	1	1	479	0.2%	No
FAM193A	1	1	479	0.2%	No
MICU2	1	1	479	0.2%	No
MFGE8	1	1	479	0.2%	No
ARHGEF7	1	1	479	0.2%	No
ARHGEF5	1	1	479	0.2%	No
CSTPP1	1	1	479	0.2%	No
MRPS35	2	2	479	0.4%	No
MRPS33	1	1	479	0.2%	No
GPALPP1	1	1	479	0.2%	No
PCNP	1	1	479	0.2%	No
OS9	3	3	479	0.6%	No
FAM177A1	2	2	479	0.4%	No
DYNC1H1	1	1	479	0.2%	No
IL34	1	1	479	0.2%	No
KLHL2	2	2	479	0.4%	No
MYO9A	1	1	479	0.2%	No
GCK	1	1	479	0.2%	No
PEX14	1	1	479	0.2%	No
VEGFA	1	1	479	0.2%	Yes
VMP1	1	1	479	0.2%	No
ITCH	3	3	479	0.6%	No
FHIP2A	2	2	479	0.4%	No
TTC6	8	5	479	1.0%	No
SGSM3	1	1	479	0.2%	No
TCEA3	1	1	479	0.2%	No
AGGF1	2	1	479	0.2%	No
OTUD4	1	1	479	0.2%	No
PAGE5	1	1	479	0.2%	No
UBE3C	1	1	479	0.2%	No
RPP30	2	1	479	0.2%	No
ZFAND6	1	1	479	0.2%	No
BUB1B	1	1	479	0.2%	Yes
WASHC2C	1	1	479	0.2%	No
ACTG2	1	1	479	0.2%	No
